step,epoch,train/loss_step,val/loss_best,val/loss,train/loss_epoch
49,0,1.485744953,,,
99,0,1.480597973,,,
149,0,1.513364792,,,
199,0,1.451648951,,,
249,0,1.172889709,,,
299,0,1.15256381,,,
349,0,1.082389593,,,
399,0,0.962516665,,,
449,0,0.991266191,,,
499,0,0.833943665,,,
549,0,0.937872648,,,
599,0,0.785527825,,,
649,0,0.986857891,,,
699,0,0.861943007,,,
749,0,0.776644349,,,
799,0,0.699064076,,,
849,0,0.816297591,,,
899,0,0.756752849,,,
949,0,0.761628032,,,
999,0,0.811569571,,,
1049,0,0.674640298,,,
1099,0,0.834323406,,,
1149,0,0.709276795,,,
1199,0,0.746906757,,,
1249,0,0.734603047,,,
1299,0,0.64508611,,,
1349,0,0.761505485,,,
1399,0,0.717016399,,,
1449,0,0.553447604,,,
1499,0,0.734021246,,,
1549,0,0.710000277,,,
1599,0,0.711804867,,,
1649,0,0.623289824,,,
1699,0,0.584171295,,,
1749,0,0.742310286,,,
1799,0,0.744068146,,,
1849,0,0.758977592,,,
1899,0,0.862340093,,,
1949,0,0.723453283,,,
1999,0,0.707424045,,,
2049,0,0.63844794,,,
2099,0,0.70301944,,,
2149,0,0.728169441,,,
2199,0,0.75199002,,,
2249,0,0.650614679,,,
2299,0,0.66911298,,,
2349,0,0.776988208,,,
2399,0,0.724062145,,,
2449,0,0.66567409,,,
2499,0,0.714378953,,,
2549,0,0.651498437,,,
2599,0,0.684713483,,,
2649,0,0.688594639,,,
2699,0,0.701623738,,,
2749,0,0.695795298,,,
2799,0,0.648010612,,,
2849,0,0.656793535,,,
2899,0,0.680523634,,,
2949,0,0.760126889,,,
2989,0,,0.696108341,0.696108341,
2989,0,,,,0.828367829
2999,1,0.554508448,,,
3049,1,0.635941386,,,
3099,1,0.700465381,,,
3149,1,0.594732463,,,
3199,1,0.674760222,,,
3249,1,0.653007805,,,
3299,1,0.711107492,,,
3349,1,0.645056725,,,
3399,1,0.85555166,,,
3449,1,0.628454447,,,
3499,1,0.590976834,,,
3549,1,0.674085557,,,
3599,1,0.566868186,,,
3649,1,0.590084791,,,
3699,1,0.612759054,,,
3749,1,0.549722552,,,
3799,1,0.644377589,,,
